pkey,profile,genome_id,name,product,start,stop,strand,scaffold,sequence_id,type,transl_table,core_table_fkey,Dup,HGT,Res,bgc_id,gene,description,function,bgctable_fkey,BGC,duptable_fkey,evalue,bitscore,gid,seqtitle,hits
GCF_003635025.1__PF00364.17__2__4564,PF00364.17,GCF_003635025.1,,,4686841,4688089,1.0,2,4564,,,,✖,✖,✔,,,Biotin_lipoyl,ResModel,,✖,,3.8e-22,76.7,lcl,4564,1
GCF_003635025.1__PF00364.17__2__5343,PF00364.17,GCF_003635025.1,,,5554917,5556153,1.0,2,5343,,,,✖,✖,✔,,,Biotin_lipoyl,ResModel,,✖,,0.0,47.5,cog,cog0508,1
GCF_003635025.1__PF00364.17__2__5906,PF00364.17,GCF_003635025.1,,,6190462,6192226,1.0,2,5906,,,,✖,✖,✔,,,Biotin_lipoyl,ResModel,,✖,,6.6e-19,66.4,lcl,5906,1
GCF_003635025.1__PF00364.17__2__5941,PF00364.17,GCF_003635025.1,,,6232201,6233530,-1.0,2,5941,,,,✖,✖,✔,,,Biotin_lipoyl,ResModel,,✖,,2e-19,68.0,cog,cog0508,1
GCF_003635025.1__PF00364.17__2__7130,PF00364.17,GCF_003635025.1,,,7521197,7526693,-1.0,2,7130,,,,✖,✖,✔,,,Biotin_lipoyl,ResModel,,✖,,0.0,41.8,lcl,7130,1
GCF_003635025.1__PF00364.17__2__7504,PF00364.17,GCF_003635025.1,,,7937180,7937420,-1.0,2,7504,,,,✖,✖,✔,,,Biotin_lipoyl,ResModel,,✖,,1.1e-16,59.2,cog,cog0511,1
GCF_003635025.1__PF00364.17__2__7526,PF00364.17,GCF_003635025.1,,,7956917,7957241,-1.0,2,7526,,,,✖,✖,✔,,,Biotin_lipoyl,ResModel,,✖,,4.9e-18,63.6,lcl,7526,1
GCF_003635025.1__PF00364.17__2__764,PF00364.17,GCF_003635025.1,,,682454,684179,1.0,2,764,,,,✖,✖,✔,,,Biotin_lipoyl,ResModel,,✖,,1.9e-48,161.0,cog,cog0508,1
GCF_003635025.1__PF00521.15__2__2658,PF00521.15,GCF_003635025.1,,,2695238,2697734,-1.0,2,2658,,,,✖,✖,✔,,,DNA_topoisoIV,ResModel,,✖,,3.6e-149,496.2,cog,cog0188,1
GCF_003635025.1__PF01039.17__2__3130,PF01039.17,GCF_003635025.1,,,3201340,3202954,1.0,2,3130,,,,✖,✖,✔,,,Carboxyl_trans,ResModel,,✖,,2.7000000000000002e-165,549.5,cog,cog4799,1
GCF_003635025.1__PF01039.17__2__5542,PF01039.17,GCF_003635025.1,,,5773786,5775346,-1.0,2,5542,ResModel,,,✖,✖,✔,NZ_RBXX01000002.1.region009,PF01039.17,Carboxyl_trans,ResModel,NZ_RBXX01000002.1.region009__arts_bgc,✔,,3.6e-179,595.2,cog,cog4799,2
GCF_003635025.1__PF01039.17__2__5904,PF01039.17,GCF_003635025.1,,,6188277,6189915,1.0,2,5904,,,,✖,✖,✔,,,Carboxyl_trans,ResModel,,✖,,6.5e-203,673.6,cog,cog4799,1
GCF_003635025.1__PF01039.17__2__6117,PF01039.17,GCF_003635025.1,,,6434812,6436144,1.0,2,6117,,,,✖,✖,✔,,,Carboxyl_trans,ResModel,,✖,,1.3000000000000002e-28,98.7,cog,cog0777,1
GCF_003635025.1__PF01039.17__2__7130,,GCF_003635025.1,,,7521197,7526693,,,7130,ResModel,,,✖,✖,✖,NZ_RBXX01000002.1.region021,PF01039.17,Carboxyl_trans: Carboxyl transferase domain,,NZ_RBXX01000002.1.region021__arts_bgc,✔,,,,,,1
GCF_003635025.1__PF13599.1__2__1735,PF13599.1,GCF_003635025.1,,,1731460,1737226,-1.0,2,1735,,,,✖,✖,✔,,,Pentapeptide_4,ResModel,,✖,,1.7e-08,33.1,lcl,1735,1
GCF_003635025.1__PF13599.1__2__3515,PF13599.1,GCF_003635025.1,,,3597613,3598204,1.0,2,3515,,,,✖,✖,✔,,,Pentapeptide_4,ResModel,,✖,,4.3e-25,86.3,cog,cog1357,1
GCF_003635025.1__PF13599.1__2__4379,PF13599.1,GCF_003635025.1,,,4485140,4486199,-1.0,2,4379,,,,✖,✖,✔,,,Pentapeptide_4,ResModel,,✖,,7.7e-19,66.3,lcl,4379,1
GCF_003635025.1__PF13599.1__2__4380,PF13599.1,GCF_003635025.1,,,4486258,4487464,-1.0,2,4380,,,,✖,✖,✔,,,Pentapeptide_4,ResModel,,✖,,7e-17,60.0,lcl,4380,1
GCF_003635025.1__PF13599.1__2__6430,PF13599.1,GCF_003635025.1,,,6762801,6763623,1.0,2,6430,,,,✖,✖,✔,,,Pentapeptide_4,ResModel,,✖,,3.1e-08,32.3,lcl,6430,1
GCF_003635025.1__PF13599.1__2__6840,PF13599.1,GCF_003635025.1,,,7198317,7199172,-1.0,2,6840,,,,✖,✖,✔,,,Pentapeptide_4,ResModel,,✖,,1.1e-18,65.8,lcl,6840,1
GCF_003635025.1__PGK__2__4991,PGK,GCF_003635025.1,pgk,Phosphoglycerate kinase,5171499,5172702,1.0,scaffold_2,4991,CDS,11.0,GCF_003635025.1__arts_core__PGK,✖,✔,✖,,,,Unclassified,,✖,,,,,,1
GCF_003635025.1__RF0007__2__3821,RF0007,GCF_003635025.1,,,3916962,3920586,-1.0,2,3821,,,,✖,✖,✔,,,ABC_efflux,ResModel,,✖,,2.6e-168,559.6,cog,cog1132,1
GCF_003635025.1__RF0007__2__495,RF0007,GCF_003635025.1,,,399769,401593,-1.0,2,495,,,,✖,✖,✔,,,ABC_efflux,ResModel,,✖,,1.3e-88,296.7,cog,cog1132,1
GCF_003635025.1__RF0007__2__6259,RF0007,GCF_003635025.1,,,6594824,6596702,-1.0,2,6259,,,,✖,✖,✔,,,ABC_efflux,ResModel,,✖,,4e-79,265.4,cog,cog1132,1
GCF_003635025.1__RF0007__2__6733,RF0007,GCF_003635025.1,,,7084697,7086563,1.0,2,6733,,,,✖,✖,✔,,,ABC_efflux,ResModel,,✖,,2.9999999999999998e-92,308.7,cog,cog1132,1
GCF_003635025.1__RF0007__2__7330,RF0007,GCF_003635025.1,,,7744531,7746247,-1.0,2,7330,ResModel,,,✖,✖,✔,NZ_RBXX01000002.1.region024,RF0007,ABC_efflux,ResModel,NZ_RBXX01000002.1.region024__arts_bgc,✔,,2.4000000000000003e-74,249.6,cog,cog1132,2
GCF_003635025.1__RF0033__2__1205,RF0033,GCF_003635025.1,,,1121708,1122497,-1.0,2,1205,ResModel,,,✖,✖,✔,NZ_RBXX01000002.1.region002,RF0033,APH3,ResModel,NZ_RBXX01000002.1.region002__arts_bgc,✔,,1.1e-63,213.9,lcl,1205,2
GCF_003635025.1__RF0051__2__4044,RF0051,GCF_003635025.1,,,4123724,4124915,-1.0,2,4044,,,,✖,✖,✔,,,Chlor_Efflux_Pump,,,✖,,7.3e-83,277.6,cog,cog2814,1
GCF_003635025.1__RF0053__2__191,RF0053,GCF_003635025.1,,,78394,79294,-1.0,2,191,,,,✖,✖,✔,,,ClassA,ResModel,,✖,,5.4e-96,319.8,cog,cog2367,1
GCF_003635025.1__RF0053__2__6086,RF0053,GCF_003635025.1,,,6403209,6404001,1.0,2,6086,ResModel,,,✖,✖,✔,NZ_RBXX01000002.1.region014,RF0053,ClassA: Class A beta-lactamase [ARO:3000078],ResModel,NZ_RBXX01000002.1.region014__arts_bgc,✔,,1.5e-19,68.9,lcl,6086,2
GCF_003635025.1__RF0067__2__2795,RF0067,GCF_003635025.1,,,2843283,2844021,-1.0,2,2795,,,,✖,✖,✔,,,Erm23S_rRNA_methyltrans,ResModel,,✖,,7.6e-76,253.5,lcl,2795,1
GCF_003635025.1__RF0123__2__1148,RF0123,GCF_003635025.1,,,1062982,1063771,1.0,2,1148,,,,✖,✖,✔,,,SubclassB1,,,✖,,9.5e-18,63.1,lcl,1148,1
GCF_003635025.1__RF0123__2__4782,RF0123,GCF_003635025.1,,,4955417,4956311,-1.0,2,4782,,,,✖,✖,✔,,,SubclassB1,,,✖,,0.0,46.6,lcl,4782,1
GCF_003635025.1__RF0123__2__4985,RF0123,GCF_003635025.1,,,5163889,5164828,-1.0,2,4985,,,,✖,✖,✔,,,SubclassB1,,,✖,,0.0,56.3,lcl,4985,1
GCF_003635025.1__RF0155__2__5713,RF0155,GCF_003635025.1,,,5970615,5971707,1.0,2,5713,ResModel,,,✖,✖,✔,NZ_RBXX01000002.1.region012,RF0155,vanS,ResModel,NZ_RBXX01000002.1.region012__arts_bgc,✔,,2.5000000000000002e-89,298.6,lcl,5713,2
GCF_003635025.1__RF0158__2__5715,RF0158,GCF_003635025.1,,,5972357,5972966,-1.0,2,5715,ResModel,,,✖,✖,✔,NZ_RBXX01000002.1.region012,RF0158,vanX: VanX: glycopeptide resistance gene [ARO:3000011],ResModel,NZ_RBXX01000002.1.region012__arts_bgc,✔,,1e-98,327.7,cog,cog2173,2
GCF_003635025.1__Ribosomal_L10__2__3301,Ribosomal_L10,GCF_003635025.1,rplJ,50S ribosomal protein L10,3366974,3367502,1.0,scaffold_2,3301,CDS,11.0,GCF_003635025.1__arts_core__Ribosomal_L10,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__Ribosomal_L23__2__3348,Ribosomal_L23,GCF_003635025.1,rplW,50S ribosomal protein L23,3435370,3435670,1.0,scaffold_2,3348,CDS,11.0,GCF_003635025.1__arts_core__Ribosomal_L23,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__Ribosomal_S14__2__1861,Ribosomal_S14,45119,rpsN,30S ribosomal protein S14,1861505,1861811,1.0,scaffold_2,1861,CDS,11.0,GCF_003635025.1__arts_core__Ribosomal_S14,✔,✖,✖,,,,Unclassified,,✖,GCF_003635025.1__arts_dup__Ribosomal_S14,,,,,1
GCF_003635025.1__Ribosomal_S14__2__3359,Ribosomal_S14,GCF_003635025.1,rpsZ,30S ribosomal protein S14 type Z,3440548,3440734,1.0,scaffold_2,3359,CDS,11.0,GCF_003635025.1__arts_core__Ribosomal_S14,✔,✖,✖,,,,Unclassified,,✖,GCF_003635025.1__arts_dup__Ribosomal_S14,,,,,1
GCF_003635025.1__Ribosomal_S8__2__3360,Ribosomal_S8,GCF_003635025.1,rpsH,30S ribosomal protein S8,3441174,3441567,1.0,scaffold_2,3360,CDS,11.0,GCF_003635025.1__arts_core__Ribosomal_S8,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__Ribosomal_S9__2__3405,Ribosomal_S9,GCF_003635025.1,rpsI,30S ribosomal protein S9,3481095,3481584,1.0,scaffold_2,3405,CDS,11.0,GCF_003635025.1__arts_core__Ribosomal_S9,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__SHMT__2__4536,SHMT,45119,glyA2_1,Serine hydroxymethyltransferase 2,4660587,4661868,-1.0,scaffold_2,4536,CDS,11.0,GCF_003635025.1__arts_core__SHMT,✔,✔,✖,,,,Unclassified,,✖,GCF_003635025.1__arts_dup__SHMT,,,,,2
GCF_003635025.1__SHMT__2__7256,SHMT,GCF_003635025.1,glyA2_2,Serine hydroxymethyltransferase 2,7665857,7667159,-1.0,scaffold_2,7256,CDS,11.0,GCF_003635025.1__arts_core__SHMT,✔,✔,✖,,,,Unclassified,,✖,GCF_003635025.1__arts_dup__SHMT,,,,,2
GCF_003635025.1__TIGR00001__2__157,TIGR00001,GCF_003635025.1,rpmI,50S ribosomal protein L35,35465,35660,-1.0,scaffold_2,157,CDS,11.0,GCF_003635025.1__arts_core__TIGR00001,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00008__2__3371,TIGR00008,GCF_003635025.1,infA,Translation initiation factor IF-1,3449134,3449356,1.0,scaffold_2,3371,CDS,11.0,GCF_003635025.1__arts_core__TIGR00008,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00009__2__1859,TIGR00009,45119,rpmB_1,50S ribosomal protein L28,1860956,1861193,1.0,scaffold_2,1859,CDS,11.0,GCF_003635025.1__arts_core__TIGR00009,✔,✔,✖,,,,Protein synthesis,,✖,GCF_003635025.1__arts_dup__TIGR00009,,,,,2
GCF_003635025.1__TIGR00009__2__4125,TIGR00009,GCF_003635025.1,rpmB_2,50S ribosomal protein L28,4216781,4216973,-1.0,scaffold_2,4125,CDS,11.0,GCF_003635025.1__arts_core__TIGR00009,✔,✔,✖,,,,Protein synthesis,,✖,GCF_003635025.1__arts_dup__TIGR00009,,,,,2
GCF_003635025.1__TIGR00011__2__3769,TIGR00011,GCF_003635025.1,ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,3859706,3860183,-1.0,scaffold_2,3769,CDS,11.0,GCF_003635025.1__arts_core__TIGR00011,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00012__2__3354,TIGR00012,GCF_003635025.1,rpmC,50S ribosomal protein L29,3438551,3438794,1.0,scaffold_2,3354,CDS,11.0,GCF_003635025.1__arts_core__TIGR00012,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00016__2__510,TIGR00016,GCF_003635025.1,ackA,Acetate kinase,417342,418437,-1.0,scaffold_2,510,CDS,11.0,GCF_003635025.1__arts_core__TIGR00016,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR00017__1__102,TIGR00017,GCF_003635025.1,cmk_1,Cytidylate kinase,117131,117854,-1.0,scaffold_1,102,CDS,11.0,GCF_003635025.1__arts_core__TIGR00017,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00018__2__2169,TIGR00018,GCF_003635025.1,panC,Pantothenate synthetase,2197011,2197890,-1.0,scaffold_2,2169,CDS,11.0,GCF_003635025.1__arts_core__TIGR00018,✖,✖,✖,,,,"Biosynthesis of cofactors, prosthetic groups, and carriers",,✖,,,,,,0
GCF_003635025.1__TIGR00019__2__3960,TIGR00019,GCF_003635025.1,prfA,Peptide chain release factor 1,4045322,4046390,1.0,scaffold_2,3960,CDS,11.0,GCF_003635025.1__arts_core__TIGR00019,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00020__2__1495,TIGR00020,GCF_003635025.1,prfB,Peptide chain release factor 2,1469192,1470299,-1.0,scaffold_2,1495,CDS,11.0,GCF_003635025.1__arts_core__TIGR00020,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR00021__2__7412,TIGR00021,GCF_003635025.1,rpiA,Ribose-5-phosphate isomerase A,7852537,7853299,1.0,scaffold_2,7412,CDS,11.0,GCF_003635025.1__arts_core__TIGR00021,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00029__2__1077,TIGR00029,GCF_003635025.1,rpsT,30S ribosomal protein S20,987623,987884,1.0,scaffold_2,1077,CDS,11.0,GCF_003635025.1__arts_core__TIGR00029,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00033__2__4901,TIGR00033,GCF_003635025.1,aroC,Chorismate synthase,5079197,5080403,1.0,scaffold_2,4901,CDS,11.0,GCF_003635025.1__arts_core__TIGR00033,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR00036__2__4314,TIGR00036,GCF_003635025.1,dapB,4-hydroxy-tetrahydrodipicolinate reductase,4421602,4422349,1.0,scaffold_2,4314,CDS,11.0,GCF_003635025.1__arts_core__TIGR00036,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR00038__2__4914,TIGR00038,GCF_003635025.1,efp,Elongation factor P,5092279,5092846,1.0,scaffold_2,4914,CDS,11.0,GCF_003635025.1__arts_core__TIGR00038,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00042__2__1372,TIGR00042,GCF_003635025.1,-,dITP/XTP pyrophosphatase,1335216,1335822,-1.0,scaffold_2,1372,CDS,11.0,GCF_003635025.1__arts_core__TIGR00042,✖,✖,✖,,,,DNA metabolism,,✖,,,,,,0
GCF_003635025.1__TIGR00043__2__1024,TIGR00043,GCF_003635025.1,ybeY,Endoribonuclease YbeY,935487,936054,-1.0,scaffold_2,1024,CDS,11.0,GCF_003635025.1__arts_core__TIGR00043,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR00055__2__1015,TIGR00055,GCF_003635025.1,uppS,Decaprenyl diphosphate synthase,929005,929839,-1.0,scaffold_2,1015,CDS,11.0,GCF_003635025.1__arts_core__TIGR00055,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00055__2__1673,TIGR00055,GCF_003635025.1,-,"(2Z,6E)-farnesyl diphosphate synthase",1658278,1659055,-1.0,scaffold_2,1673,CDS,11.0,GCF_003635025.1__arts_core__TIGR00055,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00057__2__3963,TIGR00057,GCF_003635025.1,-,Putative threonylcarbamoyl-AMP synthase,4048466,4049117,1.0,scaffold_2,3963,CDS,11.0,GCF_003635025.1__arts_core__TIGR00057,✔,✔,✖,,,,Protein synthesis,,✖,GCF_003635025.1__arts_dup__TIGR00057,,,,,2
GCF_003635025.1__TIGR00057__2__6631,TIGR00057,GCF_003635025.1,yciO,putative protein YciO,6973520,6974141,-1.0,scaffold_2,6631,CDS,11.0,GCF_003635025.1__arts_core__TIGR00057,✔,✔,✖,,,,Protein synthesis,,✖,GCF_003635025.1__arts_dup__TIGR00057,,,,,2
GCF_003635025.1__TIGR00059__2__3377,TIGR00059,GCF_003635025.1,-,hypothetical protein,3452386,3452917,1.0,scaffold_2,3377,CDS,11.0,GCF_003635025.1__arts_core__TIGR00059,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00060__2__3362,TIGR00060,GCF_003635025.1,rplR,50S ribosomal protein L18,3442125,3442527,1.0,scaffold_2,3362,CDS,11.0,GCF_003635025.1__arts_core__TIGR00060,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00061__2__1102,TIGR00061,GCF_003635025.1,rplU,50S ribosomal protein L21,1011869,1012178,-1.0,scaffold_2,1102,CDS,11.0,GCF_003635025.1__arts_core__TIGR00061,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00062__2__1101,TIGR00062,GCF_003635025.1,rpmA,50S ribosomal protein L27,1011597,1011855,-1.0,scaffold_2,1101,CDS,11.0,GCF_003635025.1__arts_core__TIGR00062,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00065__2__4402,TIGR00065,GCF_003635025.1,ftsZ,Cell division protein FtsZ,4512487,4513930,1.0,scaffold_2,4402,CDS,11.0,GCF_003635025.1__arts_core__TIGR00065,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00069__2__4455,TIGR00069,45119,hisD,Histidinol dehydrogenase,4573834,4575145,1.0,scaffold_2,4455,CDS,11.0,GCF_003635025.1__arts_core__TIGR00069,✔,✔,✖,,,,Amino acid biosynthesis,,✖,GCF_003635025.1__arts_dup__TIGR00069,,,,,2
GCF_003635025.1__TIGR00069__2__7389,TIGR00069,GCF_003635025.1,hpsN,Sulfopropanediol 3-dehydrogenase,7827672,7828992,-1.0,scaffold_2,7389,CDS,11.0,GCF_003635025.1__arts_core__TIGR00069,✔,✔,✖,,,,Amino acid biosynthesis,,✖,GCF_003635025.1__arts_dup__TIGR00069,,,,,2
GCF_003635025.1__TIGR00071__2__3378,TIGR00071,GCF_003635025.1,truA,tRNA pseudouridine synthase A,3452979,3453813,1.0,scaffold_2,3378,CDS,11.0,GCF_003635025.1__arts_core__TIGR00071,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00077__2__4411,TIGR00077,GCF_003635025.1,lspA,Lipoprotein signal peptidase,4523565,4524267,1.0,scaffold_2,4411,CDS,11.0,GCF_003635025.1__arts_core__TIGR00077,✖,✔,✖,,,,Protein fate,,✖,,,,,,1
GCF_003635025.1__TIGR00078__2__4436,TIGR00078,GCF_003635025.1,nadC,Nicotinate-nucleotide pyrophosphorylase [carboxylating],4554645,4555494,1.0,scaffold_2,4436,CDS,11.0,GCF_003635025.1__arts_core__TIGR00078,✖,✖,✖,,,,"Biosynthesis of cofactors, prosthetic groups, and carriers",,✖,,,,,,0
GCF_003635025.1__TIGR00079__2__2076,TIGR00079,GCF_003635025.1,def_1,Peptide deformylase,2091800,2092382,1.0,scaffold_2,2076,CDS,11.0,GCF_003635025.1__arts_core__TIGR00079,✔,✔,✖,,,,,,✖,GCF_003635025.1__arts_dup__TIGR00079,,,,,2
GCF_003635025.1__TIGR00079__2__4305,TIGR00079,45119,def_2,Peptide deformylase,4412215,4412716,-1.0,scaffold_2,4305,CDS,11.0,GCF_003635025.1__arts_core__TIGR00079,✔,✔,✖,,,,,,✖,GCF_003635025.1__arts_dup__TIGR00079,,,,,2
GCF_003635025.1__TIGR00079__2__4962,TIGR00079,GCF_003635025.1,def_3,Peptide deformylase,5140000,5140546,1.0,scaffold_2,4962,CDS,11.0,GCF_003635025.1__arts_core__TIGR00079,✔,✔,✖,,,,,,✖,GCF_003635025.1__arts_dup__TIGR00079,,,,,2
GCF_003635025.1__TIGR00081__2__2977,TIGR00081,GCF_003635025.1,purC,Phosphoribosylaminoimidazole-succinocarboxamide synthase,3029401,3030295,1.0,scaffold_2,2977,CDS,11.0,GCF_003635025.1__arts_core__TIGR00081,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00082__2__4301,TIGR00082,GCF_003635025.1,rbfA,Ribosome-binding factor A,4408374,4408875,1.0,scaffold_2,4301,CDS,11.0,GCF_003635025.1__arts_core__TIGR00082,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00084__2__4860,TIGR00084,GCF_003635025.1,ruvA,Holliday junction ATP-dependent DNA helicase RuvA,5036641,5037238,1.0,scaffold_2,4860,CDS,11.0,GCF_003635025.1__arts_core__TIGR00084,✖,✖,✖,,,,DNA metabolism,,✖,,,,,,0
GCF_003635025.1__TIGR00086__2__1492,TIGR00086,GCF_003635025.1,smpB,SsrA-binding protein,1466691,1467168,-1.0,scaffold_2,1492,CDS,11.0,GCF_003635025.1__arts_core__TIGR00086,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00088__2__4191,TIGR00088,GCF_003635025.1,trmD,tRNA (guanine-N(1)-)-methyltransferase,4287256,4288051,1.0,scaffold_2,4191,CDS,11.0,GCF_003635025.1__arts_core__TIGR00088,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR00090__2__1085,TIGR00090,GCF_003635025.1,rsfS,Ribosomal silencing factor RsfS,995770,996160,-1.0,scaffold_2,1085,CDS,11.0,GCF_003635025.1__arts_core__TIGR00090,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00092__2__1636,TIGR00092,GCF_003635025.1,ychF_2,Ribosome-binding ATPase YchF,1613510,1614590,-1.0,scaffold_2,1636,CDS,11.0,GCF_003635025.1__arts_core__TIGR00092,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR00103__2__2398,TIGR00103,GCF_003635025.1,-,Nucleoid-associated protein,2432489,2432825,-1.0,scaffold_2,2398,CDS,11.0,GCF_003635025.1__arts_core__TIGR00103,✖,✔,✖,,,,Unknown function,,✖,,,,,,1
GCF_003635025.1__TIGR00105__2__1857,TIGR00105,45119,rpmE2,50S ribosomal protein L31 type B,1859272,1859524,-1.0,scaffold_2,1857,CDS,11.0,GCF_003635025.1__arts_core__TIGR00105,✔,✔,✖,,,,Protein synthesis,,✖,GCF_003635025.1__arts_dup__TIGR00105,,,,,2
